PERSON_ID,PLAYER_FIRST_NAME,PLAYER_LAST_NAME,birthCountry,height,weight,POSITION,from_year,to_year,isG,isF,isC,season
201580,JaVale,McGee,USA,7-0,270,Center-Forward,2008.0,2023.0,0,1,1,2021-22
201580,JaVale,McGee,USA,7-0,270,Center-Forward,2008.0,2023.0,0,1,1,2022-23
1631121,Bryce,McGowens,USA,6-6,175,Guard,2022.0,2023.0,1,0,0,2021-22
1631121,Bryce,McGowens,USA,6-6,175,Guard,2022.0,2023.0,1,0,0,2022-23
1630787,Cameron,McGriff,USA,6-7,220,Forward,2021.0,2021.0,0,1,0,2021-22
203585,Rodney,McGruder,USA,6-4,205,Guard,2016.0,2023.0,1,0,0,2021-22
203585,Rodney,McGruder,USA,6-4,205,Guard,2016.0,2023.0,1,0,0,2022-23
1628035,Alfonzo,McKinnie,USA,6-7,215,Forward,2017.0,2021.0,0,1,0,2021-22
1630605,JaQuori,McLaughlin,USA,6-4,190,Guard,2021.0,2021.0,1,0,0,2021-22
1629162,Jordan,McLaughlin,USA,6-0,185,Guard,2019.0,2023.0,1,0,0,2021-22
1629162,Jordan,McLaughlin,USA,6-0,185,Guard,2019.0,2023.0,1,0,0,2022-23
203463,Ben,McLemore,USA,6-3,195,Guard,2013.0,2021.0,1,0,0,2021-22
1629001,De'Anthony,Melton,USA,6-2,200,Guard,2018.0,2023.0,1,0,0,2021-22
1629001,De'Anthony,Melton,USA,6-2,200,Guard,2018.0,2023.0,1,0,0,2022-23
1630241,Sam,Merrill,USA,6-4,205,Guard,2020.0,2023.0,1,0,0,2021-22
1630241,Sam,Merrill,USA,6-4,205,Guard,2020.0,2023.0,1,0,0,2022-23
1629002,Chimezie,Metu,USA,6-9,225,Forward-Center,2018.0,2023.0,0,1,1,2021-22
1629002,Chimezie,Metu,USA,6-9,225,Forward-Center,2018.0,2023.0,0,1,1,2022-23
203114,Khris,Middleton,USA,6-7,222,Forward,2012.0,2023.0,0,1,0,2021-22
203114,Khris,Middleton,USA,6-7,222,Forward,2012.0,2023.0,0,1,0,2022-23
101139,CJ,Miles,USA,6-6,220,Guard,2005.0,2021.0,1,0,0,2021-22
201988,Patty,Mills,Australia,6-0,180,Guard,2009.0,2023.0,1,0,0,2021-22
201988,Patty,Mills,Australia,6-0,180,Guard,2009.0,2023.0,1,0,0,2022-23
1629003,Shake,Milton,USA,6-5,205,Guard-Forward,2018.0,2023.0,1,1,0,2021-22
1629003,Shake,Milton,USA,6-5,205,Guard-Forward,2018.0,2023.0,1,1,0,2022-23
1630558,Davion,Mitchell,USA,6-0,202,Guard,2021.0,2023.0,1,0,0,2021-22
1630558,Davion,Mitchell,USA,6-0,202,Guard,2021.0,2023.0,1,0,0,2022-23
1628378,Donovan,Mitchell,USA,6-1,215,Guard,2017.0,2023.0,1,0,0,2021-22
1628378,Donovan,Mitchell,USA,6-1,215,Guard,2017.0,2023.0,1,0,0,2022-23
1630596,Evan,Mobley,USA,6-11,215,Center,2021.0,2023.0,0,0,1,2021-22
1630596,Evan,Mobley,USA,6-11,215,Center,2021.0,2023.0,0,0,1,2022-23
1630600,Isaiah,Mobley,USA,6-8,238,Forward,2022.0,2023.0,0,1,0,2021-22
1630600,Isaiah,Mobley,USA,6-8,238,Forward,2022.0,2023.0,0,1,0,2022-23
1628370,Malik,Monk,USA,6-3,200,Guard,2017.0,2023.0,1,0,0,2021-22
1628370,Malik,Monk,USA,6-3,200,Guard,2017.0,2023.0,1,0,0,2022-23
1630541,Moses,Moody,USA,6-5,211,Guard,2021.0,2023.0,1,0,0,2021-22
1630541,Moses,Moody,USA,6-5,211,Guard,2021.0,2023.0,1,0,0,2022-23
1629875,Xavier,Moon,USA,6-0,165,Guard,2021.0,2023.0,1,0,0,2021-22
1629875,Xavier,Moon,USA,6-0,165,Guard,2021.0,2023.0,1,0,0,2022-23
1629760,Matt,Mooney,USA,6-2,199,Guard,2019.0,2021.0,1,0,0,2021-22
1631111,Wendell,Moore Jr.,USA,6-5,215,Guard,2022.0,2023.0,1,0,0,2021-22
1631111,Wendell,Moore Jr.,USA,6-5,215,Guard,2022.0,2023.0,1,0,0,2022-23
1629752,Juwan,Morgan,USA,6-7,232,Forward,2019.0,2021.0,0,1,0,2021-22
1628537,Jaylen,Morris,USA,6-5,185,Guard,2017.0,2021.0,1,0,0,2021-22
202693,Markieff,Morris,USA,6-9,245,Forward,2011.0,2023.0,0,1,0,2021-22
202693,Markieff,Morris,USA,6-9,245,Forward,2011.0,2023.0,0,1,0,2022-23
1628420,Monte,Morris,USA,6-2,183,Guard,2017.0,2023.0,1,0,0,2021-22
1628420,Monte,Morris,USA,6-2,183,Guard,2017.0,2023.0,1,0,0,2022-23
202694,Marcus,Morris Sr.,USA,6-8,218,Forward,2011.0,2023.0,0,1,0,2021-22
202694,Marcus,Morris Sr.,USA,6-8,218,Forward,2011.0,2023.0,0,1,0,2022-23
1626144,Emmanuel,Mudiay,DRC,6-3,200,Guard,2015.0,2021.0,1,0,0,2021-22
1628539,Mychal,Mulder,Canada,6-3,195,Guard,2019.0,2021.0,1,0,0,2021-22
1630530,Trey,Murphy III,USA,6-8,206,Forward,2021.0,2023.0,0,1,0,2021-22
1630530,Trey,Murphy III,USA,6-8,206,Forward,2021.0,2023.0,0,1,0,2022-23
1627749,Dejounte,Murray,USA,6-5,180,Guard,2016.0,2023.0,1,0,0,2021-22
1627749,Dejounte,Murray,USA,6-5,180,Guard,2016.0,2023.0,1,0,0,2022-23
