player_id,APM
2544,0.00087057624
2546,-0.033580005
2617,0.002428031
2730,-0.16451578
2772,-0.03822958
101108,0.40251577
200746,0.017149262
200752,-0.0023843504
200765,-0.003932475
200768,0.22743644
200782,0.37325636
201142,0.3876637
201143,0.56940246
201144,0.26497224
201145,0.06835094
201152,-0.041388415
201565,-0.039395895
201566,-0.20952702
201567,-0.06486562
201568,0.063085124
201569,-0.23661652
201571,-0.03351475
201572,0.33071816
201577,-0.002872915
201580,0.10016395
201586,-0.08814995
201587,-0.026323788
201588,-0.088328615
201599,-0.03482412
201609,0.009603636
201933,0.11697724
201935,0.276152
201937,0.017508792
201939,0.42793396
201942,0.048774693
201949,-0.030161466
201950,0.51346284
201959,-0.05935265
201961,-0.065283425
201976,0.17952143
201980,0.008071991
201988,-0.03655018
202066,-0.09462016
202083,0.0460363
202322,-0.009624392
202324,-0.08066136
202326,-0.02370863
202330,-0.122999035
202331,0.13988641
202334,-0.024496885
202339,-0.04899859
202340,-0.06323743
202355,-0.023263829
202357,0.019547
202362,-0.017681932
202397,0.0061410293
202681,0.1371179
202683,0.026051939
202684,-0.052421242
202685,0.15619528
202687,0.08724299
202689,-0.0394566
202691,0.19868782
202692,0.026792852
202693,0.016143698
202694,-0.042646307
202695,0.17760548
202696,0.05643229
202699,0.28103366
202704,-0.1039534
202709,-0.14612228
202710,0.25264224
202711,0.104646824
202722,-0.0150552625
202738,-0.0025345355
202954,0.02114559
203076,0.09249866
203078,-0.062352795
203081,-0.034207564
203082,-0.049909122
203083,-0.0070418357
203084,-0.120685555
203085,-0.031842057
203086,-0.037445482
203090,0.0053878166
203095,-0.03433539
203107,-0.012399112
203109,0.37763354
203110,0.41031793
203114,0.14517276
203115,0.07447528
203145,-0.049621355
203200,-0.2225672
203210,-0.03285695
203457,0.00124694
203458,-0.080911
203463,-0.023855707
203468,0.16514838
203469,0.00051236287
203471,-0.048867762
203473,0.03597961
203476,-0.04210875
203482,-0.12829086
203484,-0.0061349724
203486,-0.15738857
203488,0.053648014
203490,-0.00439446
203493,0.13595821
203496,0.045267448
203497,0.31136122
203500,0.5146143
203501,0.012668354
203503,-0.17310318
203506,-0.03652711
203507,0.41822425
203524,-0.009720197
203526,-0.05817659
203552,0.08563601
203585,-0.09496032
203648,-0.020600894
203897,0.033039015
203901,0.002723183
203903,0.015846496
203914,-0.116558805
203915,-0.08716998
203920,0.010195524
203924,-0.27835944
203925,0.1068597
203926,0.08725505
203932,0.30712473
203933,-0.01150206
203935,0.5653676
203937,0.002447263
203939,0.14258312
203943,0.0045600864
203944,0.09453982
203952,0.3163474
203954,0.3402635
203967,0.017295498
203991,0.20627935
203992,0.06566141
203994,-0.11496429
203999,0.38943005
204001,0.030780386
204025,-0.018260706
204060,0.00016272096
204456,-0.038586408
1626145,0.3260983
1626147,-0.053019762
1626149,0.03654714
1626153,0.0335235
1626156,0.21830384
1626157,0.10081591
1626158,-0.14330417
1626159,-0.095163666
1626161,0.0007840286
1626162,-0.25305855
1626163,0.0012317203
1626164,0.62300956
1626166,0.111123785
1626167,-0.1446661
1626168,-0.046317853
1626169,-0.017508535
1626171,0.15113133
1626172,0.35104918
1626174,-0.34361786
1626179,-0.16709386
1626181,-0.23536097
1626192,0.14513935
1626195,-0.0711533
1626196,-0.11825975
1626204,-0.04606921
1626208,-0.055300616
1626220,0.32108527
1626224,0.004385806
1626246,0.005861065
1627732,0.08219375
1627734,0.06882914
1627736,0.14161901
1627739,-0.09117656
1627741,-0.27377433
1627742,0.2519412
1627745,-0.06693756
1627747,-0.019725462
1627749,0.09492068
1627750,0.14561155
1627751,-0.11743232
1627752,-0.059416585
1627759,0.5675459
1627761,-0.025018716
1627763,0.035237446
1627774,-0.0090653505
1627777,-0.005343498
1627780,0.0143421125
1627783,0.20173185
1627788,0.051038507
1627789,-0.04022784
1627814,0.016077675
1627823,0.081435956
1627826,0.12744485
1627827,0.22196628
1627832,0.15547419
1627853,-0.054756798
1627854,0.0047368095
1627863,0.057140075
1627884,0.015506716
1627885,-0.00854937
1627936,0.05019705
1628021,-0.044179063
1628035,-0.019747479
1628365,0.00097290537
1628366,0.07740442
1628367,-0.021793999
1628368,0.033370122
1628369,0.64335
1628370,-0.0775419
1628371,0.016067132
1628372,-0.1240206
1628373,-0.028224055
1628374,0.046832804
1628378,0.41856572
1628379,0.14662588
1628380,-0.1595355
1628381,0.094128974
1628384,0.20393355
1628386,0.42405644
1628389,0.16601159
1628391,-0.042441357
1628392,-0.030842384
1628396,-0.016904624
1628398,-0.17062736
1628401,0.39246807
1628402,-0.042144332
1628404,-0.21203516
1628410,0.026361769
1628415,0.4849698
1628418,-0.10952702
1628420,0.10896488
1628425,0.008715755
1628427,-0.008730186
1628432,0.01964017
1628449,-0.0040264563
1628464,-0.033605076
1628467,0.09429232
1628470,-0.079545476
1628476,-0.042567357
1628539,-0.039026212
1628778,-0.01783211
1628960,0.347147
1628962,0.010941598
1628963,-0.23079927
1628964,-0.37335265
1628966,-0.40884063
1628969,0.48484933
1628970,0.071545966
1628971,0.1495737
1628972,-0.00082759635
1628973,0.3590126
1628975,0.06711264
1628976,-0.24098925
1628977,-0.2007437
1628978,0.0813606
1628981,-0.00928701
1628982,-0.016837077
1628983,-0.2240785
1628984,-0.13183798
1628988,-0.051136278
1628989,0.38014072
1628991,0.47959533
1628995,-0.13618198
1628997,0.042314507
1628998,0.0017403828
1629001,0.045943096
1629002,-0.10309628
1629003,0.011918431
1629004,-0.09865034
1629006,0.059441753
1629008,0.12132672
1629011,0.1303642
1629012,-0.0056581115
1629013,-0.10090624
1629014,-0.22648731
1629018,0.2243727
1629020,0.2995088
1629021,-0.047280833
1629022,0.010283388
1629023,-0.18488283
1629026,0.05884144
1629027,0.15231991
1629028,0.33441028
1629029,0.1671167
1629033,-0.02402227
1629048,-0.11982874
1629052,-0.098498225
1629056,-0.025922976
1629057,0.31504983
1629060,-0.051113762
1629076,-0.019556152
1629103,-0.00821742
1629111,0.031531177
1629117,0.002056959
1629130,0.12967804
1629134,0.010211224
1629139,-0.053138256
1629162,0.012243901
1629164,-0.015015444
1629185,-0.016567435
1629216,0.030013368
1629234,-0.6122106
1629308,-0.0005854601
1629312,0.0011659258
1629599,-0.07571151
1629603,-0.002693045
1629604,-0.43854088
1629605,-0.0065430007
1629611,0.081663825
1629614,-0.13815464
1629617,-0.031166555
1629622,0.16594428
1629623,-0.03881632
1629626,-0.08339356
1629627,0.15437688
1629628,0.09817943
1629629,-0.13513258
1629630,0.2566913
1629631,0.14851546
1629632,-0.013069419
1629633,0.0068439287
1629634,-0.014668113
1629636,0.25775865
1629637,0.12988509
1629638,-0.11566818
1629639,-0.013159136
1629640,-0.3471806
1629641,-0.103724286
1629642,-0.16089606
1629643,-0.18928394
1629644,-0.0041792737
1629645,-0.39885518
1629646,-0.098331995
1629647,-0.40689486
1629649,-0.042989478
1629650,-0.056698505
1629651,0.025337126
1629652,-0.15077665
1629655,-0.1313248
1629656,0.16676001
1629658,-0.10795778
1629659,-0.074705124
1629660,-0.086688705
1629661,0.1134738
1629667,-0.124049604
1629669,0.03185134
1629670,-0.124591164
1629672,-0.047786016
1629673,0.101070195
1629675,-0.008123245
1629676,-0.24990575
1629677,-0.026181621
1629678,-0.006602737
1629680,-0.089971974
1629681,0.035116103
1629684,0.091088906
1629712,-0.031166555
1629717,-0.06541584
1629718,0.015605492
1629723,0.06044102
1629726,-0.17390722
1629731,0.14588723
1629750,0.060825773
1629755,-0.006602737
1629833,-0.009712429
1630162,-0.034549057
1630163,0.02724138
1630164,-0.17464812
1630165,-0.5018402
1630166,-0.112028606
1630167,0.0401293
1630168,-0.0428058
1630169,-0.2979897
1630170,-0.2750245
1630171,0.2402246
1630172,-0.054477878
1630173,0.13249095
1630174,-0.1622898
1630175,-0.4212975
1630176,-0.0011187495
1630177,-0.123837836
1630178,0.2242365
1630180,-0.5410873
1630181,-0.13082984
1630182,0.012404883
1630183,0.07466438
1630188,-0.040313106
1630190,-0.07323715
1630191,-0.56360185
1630192,0.018008066
1630193,0.026019363
1630194,0.018950967
1630195,-0.022299178
1630197,-0.025149481
1630198,-0.023278087
1630199,-0.00088060356
1630200,-0.46855426
1630201,0.011721349
1630202,-0.02509464
1630205,0.12625824
1630208,-0.11995559
1630209,0.058087055
1630214,-0.0015874185
1630215,0.033694133
1630217,0.47749227
1630219,-0.09605904
1630224,-0.6668695
1630225,-0.008431591
1630227,-0.05071621
1630228,-0.09056565
1630230,0.03446169
1630231,-0.28924015
1630233,-0.0059721665
1630235,0.037547737
1630237,-0.038344406
1630240,-0.007050021
1630245,-0.055179253
1630249,-0.085100375
1630256,-0.4062825
1630264,-0.055610266
1630267,-0.013792372
1630273,-0.021315645
1630285,-0.09558362
1630314,-0.278058
1630322,-0.02656294
1630526,-0.23733711
1630527,-0.01346824
1630528,-0.0379242
1630529,0.20980205
1630530,0.07361205
1630531,0.007716713
1630532,-0.45935372
1630533,0.074564494
1630534,-0.08161877
1630535,-0.120133795
1630537,-0.13325237
1630538,7.588676e-05
1630540,-0.012675445
1630541,-0.02065897
1630543,-0.080646425
1630544,-0.16917498
1630547,-0.006639769
1630548,-0.0012976017
1630549,0.03430943
1630550,-0.06439686
1630551,0.009335256
1630552,-0.03615274
1630553,-0.23634313
1630556,-0.0445909
1630557,-0.13543738
1630558,-0.064838976
1630559,0.00056469336
1630560,-0.009510511
1630561,-0.0036002223
1630563,0.015424429
1630567,0.18075983
1630568,-0.080993086
1630570,-0.28684735
1630572,-0.067963995
1630573,0.07893615
1630577,0.012088407
1630578,-0.3784741
1630579,0.056691952
1630581,-0.14660682
1630583,0.030005423
1630586,-0.024085661
1630587,-0.16788854
1630591,-0.27493817
1630593,0.014710387
1630595,-0.33300713
1630596,0.29468927
1630598,-0.09688135
1630602,-0.041028026
1630606,-0.029595273
1630613,0.00088245264
1630625,-0.024252892
1630631,0.0032060656
1630647,-0.025022058
1630678,-0.045818385
1630686,-0.09558362
1630688,-0.031591155
1630692,-0.059171718
1630696,0.0027129103
1630698,-0.015193478
1630699,-0.056289095
1630700,-0.004178353
1630702,-0.03688655
1630846,-0.019857919
1631093,-0.3794454
1631094,-0.026109818
1631095,-0.37175286
1631097,-0.08851189
1631098,-0.031098459
1631099,0.15306349
1631100,-0.061956603
1631101,-0.16067018
1631102,-0.025702424
1631103,-0.24807033
1631104,-0.00550072
1631105,-0.16293322
1631106,-0.0068147862
1631107,0.00841866
1631108,-0.024957448
1631109,-0.05095498
1631110,-0.30269244
1631111,-0.010273227
1631114,0.16181
1631115,-0.0017631841
1631117,-0.10057727
1631119,0.005473546
1631121,-0.11616446
1631128,0.006652873
1631132,-0.03760194
1631172,0.013557449
1631212,0.012165609
1631216,-0.03480365
1631217,0.006684885
1631219,-0.00064440817
1631223,0.0020584757
1631246,-0.013557449
1631254,-0.013557449
1631260,-0.023306323
1631323,-0.019199295
1631466,-0.062006004
1641645,-0.008431591
