player_id,year,FGA,FGM,FGA_3pt,FGM_3pt,eFG,three_rate
101108,2022,722,355,428,222,0.6454293628808865,0.592797783933518
101108,2023,606,266,371,165,0.5750825082508251,0.6122112211221122
101150,2022,292,116,152,54,0.4897260273972603,0.5205479452054794
1626144,2022,2,0,0,0,0.0,0.0
1626145,2022,530,235,240,105,0.5424528301886793,0.4528301886792453
1626145,2023,599,260,266,119,0.5333889816360601,0.44407345575959933
1626147,2022,95,36,22,12,0.4421052631578947,0.23157894736842105
1626149,2022,525,336,75,39,0.6771428571428572,0.14285714285714285
1626149,2023,181,110,34,18,0.6574585635359116,0.1878453038674033
1626153,2022,235,111,59,26,0.5276595744680851,0.251063829787234
1626153,2023,240,115,62,32,0.5458333333333333,0.25833333333333336
1626156,2022,873,365,348,147,0.502290950744559,0.39862542955326463
1626156,2023,875,408,333,137,0.5445714285714286,0.38057142857142856
1626157,2022,1076,565,156,79,0.5618029739776952,0.1449814126394052
1626157,2023,390,192,55,25,0.5243589743589744,0.14102564102564102
1626158,2022,291,193,42,24,0.7044673539518901,0.14432989690721648
1626158,2023,87,55,14,8,0.6781609195402298,0.16091954022988506
1626159,2022,233,101,63,33,0.5042918454935622,0.2703862660944206
1626159,2023,186,78,62,26,0.489247311827957,0.3333333333333333
1626161,2022,33,14,9,3,0.4696969696969697,0.2727272727272727
1626162,2022,861,375,159,65,0.4732868757259001,0.18466898954703834
1626162,2023,807,347,237,113,0.5,0.2936802973977695
1626163,2022,66,36,18,13,0.6439393939393939,0.2727272727272727
1626163,2023,57,29,6,2,0.5263157894736842,0.10526315789473684
1626164,2022,1336,622,571,267,0.5654940119760479,0.4273952095808383
1626164,2023,951,465,456,196,0.5920084121976866,0.4794952681388013
1626166,2022,530,215,176,67,0.4688679245283019,0.3320754716981132
1626166,2023,405,169,165,66,0.49876543209876545,0.4074074074074074
1626167,2022,367,184,35,20,0.5286103542234333,0.09536784741144415
1626167,2023,633,346,87,49,0.5853080568720379,0.13744075829383887
1626168,2022,518,239,74,33,0.49324324324324326,0.14285714285714285
1626168,2023,391,181,41,14,0.48081841432225064,0.10485933503836317
1626169,2022,218,103,52,34,0.5504587155963303,0.23853211009174313
1626169,2023,109,59,17,7,0.573394495412844,0.1559633027522936
1626171,2022,816,389,141,67,0.5177696078431373,0.17279411764705882
1626171,2023,729,367,128,62,0.5459533607681756,0.1755829903978052
1626172,2022,327,186,87,39,0.6284403669724771,0.26605504587155965
1626172,2023,322,205,113,61,0.7313664596273292,0.35093167701863354
1626174,2022,772,386,167,82,0.5531088082901554,0.21632124352331605
1626174,2023,683,346,127,48,0.541727672035139,0.18594436310395315
1626179,2022,1047,466,284,136,0.5100286532951289,0.271251193887297
1626179,2023,1105,460,448,164,0.49049773755656106,0.40542986425339367
1626181,2022,605,279,172,73,0.5214876033057851,0.28429752066115704
1626181,2023,666,320,196,85,0.5442942942942943,0.29429429429429427
1626192,2022,446,206,35,20,0.484304932735426,0.07847533632286996
1626192,2023,370,145,37,20,0.4189189189189189,0.1
1626195,2022,278,145,74,25,0.5665467625899281,0.26618705035971224
1626195,2023,153,78,41,21,0.5784313725490197,0.2679738562091503
1626196,2022,468,203,122,53,0.49038461538461536,0.2606837606837607
1626196,2023,492,210,166,74,0.5020325203252033,0.33739837398373984
1626204,2022,223,118,25,15,0.5627802690582959,0.11210762331838565
1626204,2023,294,181,49,31,0.6683673469387755,0.16666666666666666
1626208,2022,189,69,74,22,0.42328042328042326,0.3915343915343915
1626220,2022,368,173,31,16,0.49184782608695654,0.08423913043478261
1626220,2023,540,211,102,37,0.425,0.18888888888888888
1626224,2022,541,234,105,48,0.47689463955637706,0.19408502772643252
1626224,2023,461,208,102,43,0.49783080260303686,0.22125813449023862
1626246,2022,60,36,2,1,0.6083333333333333,0.03333333333333333
1626246,2023,51,37,3,2,0.7450980392156863,0.058823529411764705
1627732,2023,193,106,29,16,0.5906735751295337,0.15025906735751296
1627734,2022,715,411,109,65,0.6202797202797202,0.15244755244755245
1627734,2023,871,537,147,104,0.6762342135476463,0.1687715269804822
1627736,2022,789,309,166,56,0.42712294043092525,0.21039290240811154
1627736,2023,898,354,244,93,0.4459910913140312,0.2717149220489978
1627737,2022,123,56,16,6,0.4796747967479675,0.13008130081300814
1627739,2022,96,43,24,13,0.515625,0.25
1627739,2023,205,109,51,30,0.6048780487804878,0.24878048780487805
1627741,2022,1033,416,276,111,0.4564375605033882,0.2671829622458858
1627741,2023,868,398,219,99,0.5155529953917051,0.2523041474654378
1627742,2022,848,397,287,135,0.5477594339622641,0.3384433962264151
1627742,2023,753,363,314,134,0.5710491367861886,0.4169986719787517
1627745,2022,243,157,32,23,0.6934156378600823,0.13168724279835392
1627745,2023,72,47,11,4,0.6805555555555556,0.1527777777777778
1627747,2022,776,350,349,136,0.538659793814433,0.4497422680412371
1627747,2023,643,272,200,71,0.4782270606531882,0.3110419906687403
1627749,2022,1061,490,467,209,0.560320452403393,0.44015080113100846
1627749,2023,1190,559,601,287,0.5903361344537815,0.5050420168067227
1627750,2023,977,438,383,165,0.5327533265097236,0.39201637666325484
1627751,2022,562,345,122,81,0.6859430604982206,0.21708185053380782
1627751,2023,537,333,124,82,0.6964618249534451,0.2309124767225326
1627752,2022,353,164,70,30,0.5070821529745042,0.19830028328611898
1627752,2023,341,163,74,37,0.532258064516129,0.21700879765395895
1627756,2022,57,23,9,1,0.41228070175438597,0.15789473684210525
1627759,2022,1128,530,307,135,0.5296985815602837,0.2721631205673759
1627759,2023,1275,617,376,169,0.5501960784313725,0.29490196078431374
1627760,2022,4,0,1,0,0.0,0.25
1627761,2022,199,111,36,22,0.6130653266331658,0.18090452261306533
1627763,2022,503,225,148,57,0.5039761431411531,0.294234592445328
1627763,2023,670,321,237,115,0.5649253731343283,0.3537313432835821
1627767,2022,8,3,3,1,0.4375,0.375
1627774,2022,67,28,13,4,0.44776119402985076,0.19402985074626866
1627777,2022,515,226,46,20,0.458252427184466,0.08932038834951456
1627777,2023,451,201,53,25,0.47339246119733924,0.11751662971175167
