rank,player,position,team,locked,starter_prob
1,Stephen Curry,G,GSW,True,0.95
2,Jrue Holiday,G,BOS,False,0.85
3,Jayson Tatum,F,BOS,False,0.80
4,Donovan Mitchell,G,CLE,False,0.70
5,LeBron James,F,LAL,True,0.92
6,Kevin Durant,F,PHX,True,0.88
7,Anthony Davis,C,LAL,True,0.90
8,Draymond Green,F,GSW,False,0.65
9,Jaylen Brown,F,BOS,False,0.72
10,Bam Adebayo,C,MIA,False,0.68
11,Jimmy Butler,F,MIA,False,0.60
12,Tyrese Haliburton,G,IND,False,0.55
