sport,seasons,total_games,players_unique,avg_apm,apm_std,feature_dim,lineup_stints
Hockey,2021-22 to 2025-26,9847,567,0.0042,0.0189,15,47283
Basketball,2021-22 to 2022-23,2460,412,-0.0001,0.0156,13,12300
